銘柄コード,銘柄名,購入日,保有株数,購入単価
AJ312217,Smart-i ゴールドファンド(H有),2024-01-01,206223,14695.0
AJ311217,Smart-i ゴールドファンド(H無),2024-01-01,33911,32438.0
4731815C,たわらノーロード日経225,2024-01-01,139274,25130.0
0331418A,eMAXIS Slim全世界株式(オール・カントリー),2024-01-01,78138,25595.0
IONQ,IONQ,2025-10-17,5,69.2004
IONQ,IONQ,2025-11-20,6,49.12
IONQ,IONQ,2026-01-28,30,43.3533
QUBT,Quantum Computing,2025-10-17,15,20.4284
QUBT,Quantum Computing,2025-11-18,28,11.62
2432.T,DeNA,2025-05-19,20,2965.0
9434.T,ソフトバンク,2025-10-29,900,218.4
3922.T,PR TIMES,2025-11-10,3,2920.0
6036.T,KeePer技研,2025-12-29,28,3590.0
6653.T,正興電機製作所,2025-12-29,42,2385.0
9267.T,Genky DrugStores,2025-12-29,20,5060.0
5253.T,カバー,2026-01-09,100,1725.0
