銘柄コード,銘柄名,購入日,保有株数,購入単価
6958.T,日本ＣＭＫ(株),2026-01-23,178.0,542.0
GOOGL,アルファベット,2026-01-23,2.0,327.9
9216.T,ビーウィズ,2026-01-01,60.0,1640.0
4392.T,FIG,2026-01-01,259.0,285.0
3150.T,グリムス,2026-01-01,40.0,2461.0
3924.T,ランドComp,2026-01-01,99.0,950.0
6544.T,Jエレベータ,2026-01-01,35.0,1728.5
6080.T,M&Aキャピタル,2026-01-06,29.0,3405.0
9556.T,INTLOOP,2026-01-06,32.0,3720.0
7199.T,プレミアG,2026-01-06,46.0,1960.0
9267.T,GenkyDrug,2026-01-06,20.0,4880.0
3901.T,マークラインズ,2026-01-06,34.0,1520.0
5574.T,ABEJA,2026-01-11,37.0,2800.0
2980.T,SRE HD,2026-01-11,31.0,3300.0
4384.T,ラクスル,2026-01-11,78.0,1884.0
6030.T,アドベンチャー,2026-01-11,25.0,1728.0
9219.T,ギックス,2026-01-11,102.0,973.0
5246.T,ELEMENTS,2026-01-16,140.0,717.0
3479.T,TKP,2026-01-16,42.0,1983.0
8117.T,中央自動車,2026-01-16,22.0,1973.0
3547.T,串カツ田中,2026-01-16,47.0,1901.0
3156.T,レスターHD,2026-01-16,25.0,2881.0
3923.T,ラクス,2026-01-21,101.0,985.4
6532.T,ベイカレント,2026-01-21,20.0,6246.0
9227.T,マイクロ波化学,2026-01-21,80.0,1224.0
4375.T,セーフィー,2026-01-26,121.0,890.0
2471.T,エスプール,2026-01-26,253.0,254.0
4436.T,ミンカブ,2026-01-26,86.0,453.0
5572.T,Ridge-i,2026-01-26,54.0,2086.0
9229.T,サンウェルズ,2026-01-26,40.0,362.0
4116.T,大日精化工業,2026-01-31,23.0,4285.0
6393.T,油研工業,2026-01-31,37.0,3235.0
4431.T,スマレジ,2026-01-31,35.0,2694.0
6315.T,TOWA,2026-01-31,10.0,2870.0
9211.T,エフ・コード,2026-01-31,68.0,1683.0
4418.T,JDSC,2026-02-05,102.0,1096.0
7047.T,ポート,2026-02-05,46.0,2135.0
6323.T,ローツェ,2026-02-05,29.0,3187.0
9219.T,ギックス,2026-02-05,95.0,941.0
9211.T,エフ・コード,2026-02-10,63.0,1684.0
2158.T,FRONTEO,2026-02-10,89.0,870.0
4395.T,アクリート,2026-02-10,68.0,1210.0
5244.T,jig.jp,2026-02-10,172.0,237.0
6393.T,油研工業,2026-02-10,35.0,3295.0
