銘柄コード,銘柄名,購入日,保有株数,購入単価
6958.T,日本ＣＭＫ(株),2026-01-23,178.0,561.0
GOOGL,アルファベット,2026-01-23,304.0,327.93
5595.T,QPS研究所,2026-02-11,57.0,1735.0
9216.T,ビーウィズ,2026-01-01,60.0,1640.0
4392.T,FIG,2026-01-01,259.0,385.0
3150.T,グリムス,2026-01-01,40.0,2450.0
3924.T,ランドComp,2026-01-01,99.0,1010.0
6544.T,Jエレベータ,2026-01-01,35.0,2850.0
6080.T,M&Aキャピタル,2026-01-06,29.0,3395.0
9556.T,INTLOOP,2026-01-06,32.0,3100.0
7199.T,プレミアG,2026-01-06,46.0,2150.0
9267.T,GenkyDrug,2026-01-06,20.0,4800.0
3901.T,マークラインズ,2026-01-06,34.0,2900.0
5574.T,ABEJA,2026-01-11,37.0,2698.0
2980.T,SRE HD,2026-01-11,31.0,3150.0
4384.T,ラクスル,2026-01-11,78.0,1280.0
6030.T,アドベンチャー,2026-01-11,25.0,3900.0
9219.T,ギックス,2026-01-11,102.0,980.0
5246.T,ELEMENTS,2026-01-16,140.0,713.0
3479.T,TKP,2026-01-16,42.0,2380.0
8117.T,中央自動車,2026-01-16,22.0,4500.0
3547.T,串カツ田中,2026-01-16,47.0,2100.0
3156.T,レスターHD,2026-01-16,25.0,3850.0
3923.T,ラクス,2026-01-21,101.0,982.0
6095.T,メドピア,2026-01-21,102.0,980.0
6532.T,ベイカレント,2026-01-21,20.0,4800.0
2150.T,ケアネット,2026-01-21,153.0,650.0
9227.T,マイクロ波化学,2026-01-21,80.0,1250.0
4375.T,セーフィー,2026-01-26,121.0,820.0
2471.T,エスプール,2026-01-26,253.0,395.0
4436.T,ミンカブ,2026-01-26,86.0,1150.0
5572.T,Ridge-i,2026-01-26,54.0,1850.0
9229.T,サンウェルズ,2026-01-26,40.0,2450.0
4116.T,大日精化工業,2026-01-31,23.0,4345.0
6393.T,油研工業,2026-01-31,37.0,2680.0
4431.T,スマレジ,2026-01-31,35.0,2850.0
6315.T,TOWA,2026-01-31,10.0,9200.0
9211.T,エフ・コード,2026-01-31,68.0,1450.0
5595.T,ジェイフロンティア,2026-02-05,28.0,3450.0
4418.T,JDSC,2026-02-05,102.0,980.0
7047.T,ポート,2026-02-05,46.0,2150.0
6323.T,ローツェ,2026-02-05,29.0,3415.0
9219.T,ギックス,2026-02-05,95.0,1050.0
9211.T,エフ・コード,2026-02-10,63.0,1580.0
2158.T,FRONTEO,2026-02-10,89.0,1120.0
4395.T,アクリート,2026-02-10,68.0,1450.0
5244.T,jig.jp,2026-02-10,172.0,580.0
6393.T,油研工業,2026-02-10,35.0,2820.0
